task,latency
stt,2.8초
gpt,2.8초
tts,0.4초
e2e,24.2초
waiting,6.0초
stt,2.8초
gpt,2.5초
tts,0.4초
e2e,23.3초
waiting,5.7초
stt,3.0초
gpt,3.1초
tts,0.2초
e2e,23.7초
waiting,6.4초
stt,2.8초
gpt,2.7초
tts,0.3초
e2e,23.8초
waiting,5.8초
stt,2.7초
gpt,2.6초
tts,0.2초
e2e,21.7초
waiting,5.5초
stt,2.6초
gpt,2.5초
tts,0.4초
e2e,24.7초
waiting,5.4초
stt,2.9초
gpt,4.2초
tts,0.4초
e2e,28.4초
waiting,7.5초
stt,2.7초
gpt,2.3초
tts,0.4초
e2e,24.7초
waiting,5.4초
stt,2.9초
gpt,2.9초
tts,0.5초
e2e,30.3초
waiting,6.3초
stt,4.1초
gpt,2.8초
tts,0.4초
e2e,29.5초
waiting,7.3초
stt,2.8초
gpt,3.4초
tts,0.3초
e2e,26.5초
waiting,6.6초
stt,2.8초
gpt,2.5초
tts,0.4초
e2e,26.4초
waiting,5.7초
stt,3.0초
gpt,2.5초
tts,0.3초
e2e,25.0초
waiting,5.8초
stt,2.7초
gpt,2.9초
tts,0.4초
e2e,28.7초
waiting,6.1초
stt,2.9초
gpt,2.3초
tts,0.2초
e2e,22.6초
waiting,5.4초
stt,2.9초
gpt,3.7초
tts,0.4초
e2e,26.4초
waiting,7.1초
stt,5.5초
gpt,3.2초
tts,0.3초
e2e,27.7초
waiting,9.0초
stt,2.6초
gpt,3.4초
tts,0.3초
e2e,23.4초
waiting,6.3초
stt,2.9초
gpt,2.5초
tts,0.4초
e2e,24.2초
waiting,5.8초
stt,2.8초
gpt,2.7초
tts,0.3초
e2e,23.7초
waiting,5.9초
stt,2.7초
gpt,2.7초
tts,0.3초
e2e,24.5초
waiting,5.7초
stt,2.7초
gpt,3.4초
tts,0.3초
e2e,23.6초
waiting,6.3초
stt,2.7초
gpt,2.5초
tts,0.3초
e2e,24.9초
waiting,5.5초
stt,2.7초
gpt,2.7초
tts,0.2초
e2e,21.5초
waiting,5.7초
stt,2.7초
gpt,4.1초
tts,0.5초
e2e,29.0초
waiting,7.2초
stt,2.7초
gpt,2.8초
tts,0.3초
e2e,23.5초
waiting,5.8초
stt,2.8초
gpt,3.1초
tts,0.3초
e2e,25.9초
waiting,6.2초
stt,2.7초
gpt,2.9초
tts,0.3초
e2e,24.5초
waiting,5.9초
stt,2.6초
gpt,3.3초
tts,0.3초
e2e,25.8초
waiting,6.2초
stt,2.8초
gpt,3.2초
tts,0.2초
e2e,24.5초
waiting,6.2초
stt,2.7초
gpt,2.3초
tts,0.2초
e2e,20.8초
waiting,5.2초
stt,2.6초
gpt,2.4초
tts,0.2초
e2e,21.4초
waiting,5.2초
stt,2.8초
gpt,2.8초
tts,0.3초
e2e,26.2초
waiting,5.8초
