task,latency
stt,2.4초
gpt,2.4초
tts,0.4초
e2e,23.1초
waiting,5.1초
stt,2.1초
gpt,2.7초
tts,0.5초
e2e,24.8초
waiting,5.3초
stt,2.0초
gpt,2.3초
tts,0.4초
e2e,22.4초
waiting,4.7초
stt,3.6초
gpt,2.3초
tts,0.3초
e2e,24.6초
waiting,6.2초
stt,2.2초
gpt,3.5초
tts,0.4초
e2e,27.4초
waiting,6.1초
stt,2.0초
gpt,2.6초
tts,0.3초
e2e,26.7초
waiting,4.9초
stt,2.3초
gpt,2.7초
tts,0.5초
e2e,28.6초
waiting,5.4초
stt,2.2초
gpt,2.4초
tts,0.5초
e2e,25.8초
waiting,5.1초
stt,2.2초
gpt,2.5초
tts,0.4초
e2e,27.9초
waiting,5.1초
stt,4.4초
gpt,2.9초
tts,0.4초
e2e,33.3초
waiting,7.8초
stt,2.2초
gpt,2.6초
tts,0.4초
e2e,26.4초
waiting,5.2초
stt,2.1초
gpt,3.3초
tts,0.4초
e2e,26.0초
waiting,5.8초
stt,2.0초
gpt,2.8초
tts,0.4초
e2e,24.8초
waiting,5.2초
stt,2.1초
gpt,3.1초
tts,0.4초
e2e,29.1초
waiting,5.6초
stt,4.6초
gpt,2.4초
tts,0.4초
e2e,30.3초
waiting,7.4초
stt,2.4초
gpt,2.6초
tts,0.4초
e2e,26.6초
waiting,5.4초
stt,2.1초
gpt,2.5초
tts,0.3초
e2e,24.3초
waiting,5.0초
stt,2.2초
gpt,2.4초
tts,0.4초
e2e,28.0초
waiting,4.9초
stt,2.0초
gpt,2.6초
tts,0.5초
e2e,24.7초
waiting,5.1초
stt,2.3초
gpt,2.3초
tts,0.4초
e2e,23.9초
waiting,5.0초
stt,2.2초
gpt,2.9초
tts,0.4초
e2e,26.9초
waiting,5.5초
stt,2.0초
gpt,2.7초
tts,0.4초
e2e,27.7초
waiting,5.1초
stt,3.3초
gpt,3.3초
tts,0.5초
e2e,31.1초
waiting,7.2초
stt,2.2초
gpt,3.2초
tts,0.4초
e2e,32.5초
waiting,5.9초
stt,2.2초
gpt,2.5초
tts,0.3초
e2e,23.1초
waiting,5.0초
stt,2.2초
gpt,2.8초
tts,0.3초
e2e,29.6초
waiting,5.3초
stt,5.7초
gpt,3.2초
tts,0.4초
e2e,31.2초
waiting,9.3초
stt,2.2초
gpt,2.7초
tts,0.4초
e2e,23.6초
waiting,5.3초
stt,2.0초
gpt,3.4초
tts,0.3초
e2e,26.6초
waiting,5.7초
stt,1.9초
gpt,3.3초
tts,0.5초
e2e,30.4초
waiting,5.7초
stt,2.0초
gpt,3.1초
tts,0.6초
e2e,31.1초
waiting,5.7초
