task,latency
stt,3.0초
gpt,2.6초
tts,2.4초
e2e,27.2초
waiting,7.9초
stt,1.8초
gpt,3.8초
tts,2.1초
e2e,28.9초
waiting,7.7초
stt,2.8초
gpt,2.5초
tts,2.2초
e2e,25.5초
waiting,7.5초
stt,1.8초
gpt,2.5초
tts,2.7초
e2e,28.9초
waiting,7.0초
stt,2.9초
gpt,2.8초
tts,2.2초
e2e,26.5초
waiting,7.9초
stt,2.8초
gpt,2.7초
tts,2.7초
e2e,29.3초
waiting,8.3초
stt,1.8초
gpt,2.7초
tts,2.1초
e2e,23.6초
waiting,6.6초
stt,2.9초
gpt,3.1초
tts,1.9초
e2e,28.1초
waiting,7.9초
stt,1.8초
gpt,3.3초
tts,1.4초
e2e,23.5초
waiting,6.5초
stt,2.9초
gpt,3.5초
tts,2.1초
e2e,27.6초
waiting,8.5초
stt,1.9초
gpt,2.7초
tts,2.8초
e2e,29.1초
waiting,7.3초
stt,1.8초
gpt,2.7초
tts,2.2초
e2e,25.6초
waiting,6.7초
stt,1.7초
gpt,3.4초
tts,2.7초
e2e,31.6초
waiting,7.9초
stt,2.9초
gpt,2.4초
tts,1.7초
e2e,24.5초
waiting,7.1초
stt,2.8초
gpt,2.7초
tts,3.0초
e2e,32.8초
waiting,8.6초
stt,1.7초
gpt,3.3초
tts,2.5초
e2e,29.2초
waiting,7.5초
stt,1.7초
gpt,3.9초
tts,2.7초
e2e,28.8초
waiting,8.3초
stt,1.8초
gpt,2.5초
tts,1.8초
e2e,25.5초
waiting,6.1초
stt,2.9초
gpt,3.2초
tts,1.9초
e2e,27.7초
waiting,8.0초
stt,1.8초
gpt,2.8초
tts,2.0초
e2e,25.2초
waiting,6.5초
stt,2.9초
gpt,2.4초
tts,1.6초
e2e,25.4초
waiting,7.0초
stt,2.9초
gpt,2.7초
tts,1.6초
e2e,23.7초
waiting,7.1초
stt,1.8초
gpt,2.9초
tts,1.7초
e2e,23.3초
waiting,6.4초
stt,2.9초
gpt,3.1초
tts,2.6초
e2e,27.9초
waiting,8.6초
stt,2.9초
gpt,3.0초
tts,3.3초
e2e,33.8초
waiting,9.2초
stt,2.9초
gpt,2.9초
tts,2.7초
e2e,30.5초
waiting,8.5초
stt,1.7초
gpt,4.4초
tts,1.9초
e2e,31.5초
waiting,8.1초
stt,1.7초
gpt,2.5초
tts,1.5초
e2e,23.9초
waiting,5.7초
stt,2.9초
gpt,2.5초
tts,2.3초
e2e,25.9초
waiting,7.7초
stt,2.8초
gpt,2.7초
tts,1.8초
e2e,24.8초
waiting,7.4초
stt,2.8초
gpt,2.6초
tts,1.7초
e2e,26.2초
waiting,7.2초
stt,2.9초
gpt,3.2초
tts,1.2초
e2e,23.0초
waiting,7.2초
stt,1.7초
gpt,3.1초
tts,2.3초
e2e,27.6초
waiting,7.2초
stt,2.8초
gpt,2.4초
tts,1.9초
e2e,24.6초
waiting,7.2초
stt,1.8초
gpt,3.2초
tts,2.5초
e2e,28.7초
waiting,7.4초
