task,latency
stt,1.1초
gpt,2.9초
tts,3.0초
e2e,26.7초
waiting,7.0초
stt,1.0초
gpt,2.8초
tts,2.5초
e2e,28.6초
waiting,6.3초
stt,0.9초
gpt,3.0초
tts,1.6초
e2e,23.8초
waiting,5.4초
stt,1.3초
gpt,2.6초
tts,2.7초
e2e,27.7초
waiting,6.6초
stt,1.5초
gpt,3.0초
tts,2.4초
e2e,28.8초
waiting,7.0초
stt,1.4초
gpt,2.5초
tts,2.7초
e2e,29.8초
waiting,6.5초
stt,1.2초
gpt,6.7초
tts,2.0초
e2e,36.0초
waiting,10.0초
stt,1.8초
gpt,2.3초
tts,1.8초
e2e,24.5초
waiting,6.0초
stt,1.0초
gpt,2.8초
tts,1.9초
e2e,25.8초
waiting,5.7초
stt,1.1초
gpt,3.0초
tts,1.7초
e2e,24.4초
waiting,5.8초
stt,1.0초
gpt,2.5초
tts,2.4초
e2e,25.6초
waiting,6.0초
stt,1.0초
gpt,2.9초
tts,1.7초
e2e,27.2초
waiting,5.6초
stt,1.1초
gpt,3.1초
tts,1.7초
e2e,23.7초
waiting,6.0초
stt,0.9초
gpt,3.3초
tts,2.1초
e2e,27.4초
waiting,6.3초
stt,1.1초
gpt,2.6초
tts,2.0초
e2e,25.2초
waiting,5.7초
stt,1.3초
gpt,2.2초
tts,1.8초
e2e,21.4초
waiting,5.3초
stt,0.9초
gpt,2.7초
tts,2.3초
e2e,27.4초
waiting,6.0초
stt,1.4초
gpt,2.9초
tts,2.4초
e2e,32.3초
waiting,6.6초
stt,1.1초
gpt,2.9초
tts,3.0초
e2e,32.5초
waiting,7.0초
stt,3.9초
gpt,2.6초
tts,2.3초
e2e,27.1초
waiting,8.7초
stt,1.2초
gpt,2.3초
tts,1.4초
e2e,20.6초
waiting,5.0초
stt,1.0초
gpt,2.5초
tts,1.8초
e2e,24.5초
waiting,5.3초
stt,1.3초
gpt,2.7초
tts,2.2초
e2e,27.3초
waiting,6.2초
stt,1.1초
gpt,3.0초
tts,2.5초
e2e,34.2초
waiting,6.6초
stt,1.8초
gpt,2.8초
tts,1.8초
e2e,28.1초
waiting,6.3초
stt,1.0초
gpt,4.1초
tts,2.1초
e2e,27.4초
waiting,7.2초
stt,1.1초
gpt,2.4초
tts,3.0초
e2e,28.9초
waiting,6.6초
stt,0.9초
gpt,3.8초
tts,3.1초
e2e,31.4초
waiting,7.8초
stt,1.2초
gpt,4.2초
tts,1.8초
e2e,31.4초
waiting,7.2초
stt,1.1초
gpt,5.2초
tts,2.9초
e2e,36.6초
waiting,9.2초
stt,0.7초
gpt,3.5초
tts,2.4초
e2e,27.6초
waiting,6.6초
stt,1.0초
gpt,2.1초
tts,1.3초
e2e,19.6초
waiting,4.4초
