task,latency
stt,4.5초
gpt,2.5초
tts,2.3초
e2e,29.2초
waiting,9.3초
stt,4.1초
gpt,2.9초
tts,2.1초
e2e,29.5초
waiting,9.1초
stt,3.7초
gpt,5.3초
tts,2.0초
e2e,31.3초
waiting,11.0초
stt,14.4초
gpt,2.1초
tts,1.7초
e2e,36.8초
waiting,18.2초
stt,3.8초
gpt,2.3초
tts,2.1초
e2e,28.6초
waiting,8.2초
stt,3.7초
gpt,2.7초
tts,3.4초
e2e,33.4초
waiting,9.8초
stt,4.0초
gpt,2.4초
tts,1.5초
e2e,25.6초
waiting,7.9초
stt,3.9초
gpt,2.4초
tts,2.5초
e2e,29.9초
waiting,8.7초
stt,3.4초
gpt,2.3초
tts,2.2초
e2e,29.9초
waiting,7.9초
stt,3.7초
gpt,2.7초
tts,2.4초
e2e,32.2초
waiting,8.9초
stt,3.9초
gpt,2.5초
tts,2.7초
e2e,31.1초
waiting,9.0초
stt,3.6초
gpt,2.4초
tts,2.1초
e2e,27.9초
waiting,8.0초
stt,4.1초
gpt,3.3초
tts,3.2초
e2e,37.6초
waiting,10.5초
stt,3.5초
gpt,3.5초
tts,3.0초
e2e,35.2초
waiting,10.1초
stt,14.1초
gpt,2.3초
tts,2.1초
e2e,38.6초
waiting,18.5초
stt,3.5초
gpt,2.8초
tts,3.5초
e2e,38.1초
waiting,9.8초
stt,3.2초
gpt,2.3초
tts,2.0초
e2e,29.2초
waiting,7.6초
stt,3.6초
gpt,2.4초
tts,2.6초
e2e,29.7초
waiting,8.6초
stt,3.4초
gpt,2.6초
tts,2.4초
e2e,31.0초
waiting,8.4초
stt,3.6초
gpt,2.4초
tts,1.9초
e2e,28.1초
waiting,7.9초
stt,3.9초
gpt,2.3초
tts,1.5초
e2e,23.8초
waiting,7.7초
stt,3.6초
gpt,2.4초
tts,1.7초
e2e,27.3초
waiting,7.7초
stt,3.6초
gpt,2.3초
tts,1.9초
e2e,24.6초
waiting,7.8초
stt,4.2초
gpt,2.4초
tts,1.7초
e2e,29.5초
waiting,8.4초
stt,5.1초
gpt,2.1초
tts,1.9초
e2e,28.1초
waiting,9.2초
stt,4.7초
gpt,2.1초
tts,1.6초
e2e,25.8초
waiting,8.3초
stt,4.1초
gpt,2.3초
tts,2.3초
e2e,28.9초
waiting,8.8초
stt,3.9초
gpt,3.7초
tts,2.4초
e2e,33.2초
waiting,9.9초
stt,4.0초
gpt,3.5초
tts,1.6초
e2e,29.6초
waiting,9.2초
stt,3.8초
gpt,3.0초
tts,2.5초
e2e,33.4초
waiting,9.3초
stt,3.4초
gpt,2.5초
tts,2.3초
e2e,31.0초
waiting,8.2초
